n_estimators,learning_rate,max_depth,max_features,RMSE_P-wave_mean,RMSE_P-wave_std,RMSE_Set1_mean,RMSE_Set1_std,RMSE_Set2_mean,RMSE_Set2_std,RMSE_Set3_mean,RMSE_Set3_std,RMSE_Set4_mean,RMSE_Set4_std,R2_P-wave_mean,R2_P-wave_std,R2_Set1_mean,R2_Set1_std,R2_Set2_mean,R2_Set2_std,R2_Set3_mean,R2_Set3_std,R2_Set4_mean,R2_Set4_std
500,0.1,2,all,230.22326862381655,41.52139277012872,238.66720498655957,30.379535310408794,227.6749208800724,41.25103614125055,211.88096400539268,44.64862345085375,223.92713064306136,45.04248509274009,0.1789177746449105,0.3681932634336057,0.13189930539153927,0.29076380874279,0.23152407202367445,0.20597513770433012,0.3234981315791445,0.26158628814298335,0.2486488260870207,0.25311727920615373
500,0.1,3,2,230.22326862381655,41.52139277012872,247.93708555383637,29.469680136913905,227.20264909348546,38.04528742215726,209.47592584217756,39.47529152890145,217.94598705516847,38.0748379515827,0.1789177746449105,0.3681932634336057,0.0598836131929181,0.3193805409720062,0.23274328183385912,0.193572007587448,0.33553795613685083,0.2465093488306227,0.29044265686474197,0.20860380907397022
500,0.1,3,4,230.22326862381655,41.52139277012872,250.89971348134245,29.230788663651687,232.56225262906148,39.95885117162089,212.01427731010924,43.43510606606472,220.6880443813223,37.9645215786034,0.1789177746449105,0.3681932634336057,0.03588804245412381,0.3303114858031947,0.19721098790918185,0.20250325888192053,0.32084172717690057,0.26113345188432274,0.27664549412116235,0.18956283569212942
500,0.1,3,all,230.22326862381655,41.52139277012872,253.08474898403526,29.987401809847995,235.31037673115537,39.15672274469875,213.63163729261333,45.41756852484885,226.34559427112683,39.22042548059532,0.1789177746449105,0.3681932634336057,0.01824139493699358,0.34094487348868324,0.17709512129312008,0.209164106825775,0.3108420555673861,0.2716416293306015,0.23923915180658653,0.19398685785249564
500,0.1,5,2,230.22326862381655,41.52139277012872,257.7589553222497,29.57339797288417,228.11071941287722,35.485131396864624,210.05232321283117,38.11124056081918,211.71699256419873,33.085786949458964,0.1789177746449105,0.3681932634336057,-0.01806368954042168,0.34650484761856987,0.2247973424494001,0.18977214034759085,0.3305589203578009,0.24286279730535357,0.3267535349240516,0.19503273431461263
500,0.1,5,4,230.22326862381655,41.52139277012872,258.25806783057453,29.590127652908155,231.80003859972882,34.27826711162684,212.3162018042783,42.4600635924554,213.28165706944804,34.222749180881635,0.1789177746449105,0.3681932634336057,-0.021299767558780207,0.34677835410209684,0.1958810958014115,0.20405300401554508,0.31715463549489337,0.26201472854815083,0.32110302774810656,0.17648194356986435
500,0.1,5,all,230.22326862381655,41.52139277012872,259.4943818255309,29.52276017748454,235.67393383877538,36.87968797182101,213.76921736539197,43.535394660756495,216.1420280128867,33.93207586995815,0.1789177746449105,0.3681932634336057,-0.030561507796267224,0.34657254066663046,0.16291903370018332,0.23673383398381168,0.31062954029607853,0.2543390815350572,0.3011519773155689,0.1805111543375961
500,0.1,7,2,230.22326862381655,41.52139277012872,255.39304137103608,29.317335231164524,224.02009643555354,32.98970794076398,210.93815731437837,38.29322970380462,210.07869434018411,32.37899160633473,0.1789177746449105,0.3681932634336057,-0.001201692591202137,0.3499873158382998,0.2484765307236369,0.19076562368172198,0.32372171549592443,0.25222816503639583,0.3353310816231827,0.20027244498288532
500,0.1,7,4,230.22326862381655,41.52139277012872,256.5095217458269,29.38438210168782,230.41269307678598,33.50245644131046,210.55272630266361,42.05598880774035,210.7968085017482,30.891487728259303,0.1789177746449105,0.3681932634336057,-0.01077546101497723,0.35427219515728536,0.2014972251145564,0.21670147816136365,0.328791720198256,0.2559342507619341,0.3303950397852208,0.19721035891459587
500,0.1,7,all,230.22326862381655,41.52139277012872,257.9860397058428,30.015665468954772,237.1033299466929,34.832197501752525,213.67163535298172,44.11669761740928,217.9087562053662,33.88045215862754,0.1789177746449105,0.3681932634336057,-0.01979089352324745,0.34884565818545116,0.15066207516288682,0.2497241681784423,0.31053172566513937,0.26538627892143496,0.28843676393960993,0.1960536452027597
500,0.1,9,2,230.22326862381655,41.52139277012872,254.94766645613385,29.77420518870541,223.55752097594433,32.1151738736792,211.5667086159017,36.78144272201112,209.97150193473135,32.468271040634626,0.1789177746449105,0.3681932634336057,0.005020231818763809,0.3373785339495531,0.2466498852974862,0.2102250788184845,0.3230087118637902,0.23903814652476418,0.33831264548918855,0.19060357167656658
500,0.1,9,4,230.22326862381655,41.52139277012872,255.39355011331324,29.40100769964621,225.76531207080706,33.63667861121267,211.39863320005185,38.354402235130365,211.91460896661312,32.722765483784165,0.1789177746449105,0.3681932634336057,0.0008379584851870248,0.3400875457869664,0.2317971366687292,0.2140047582650043,0.320002558084164,0.25649497487992684,0.3283552023708769,0.1780777802881977
500,0.1,9,all,230.22326862381655,41.52139277012872,258.2577002664058,30.070363568896894,236.9700404113707,33.75912630970476,215.98242008556258,43.328569428147986,226.531332389009,32.528473648816934,0.1789177746449105,0.3681932634336057,-0.021463590440823018,0.34818950333920257,0.1499628579497697,0.24600615605096934,0.29085812293678254,0.29189025778464456,0.22331571615228793,0.2338144040956891
